Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
1210,23408025621,January,CA,3459.5845,2884.61,80,45,1,,36,1,7,0,0,"Foreign Born, Not a US Citizen",93,Hospitals (622),3060,Government - State,No,No,Employed-At Work
1214,267099103898,January,CA,4455.4265,400.0,40,39,6,1.0,30,1,7,0,0,"Native, Born In US",93,Real estate (531),7630,"Private, For Profit",No,No,Employed-At Work
1215,467099107899,January,CA,2744.2335,1038.0,40,43,1,,43,1,7,0,0,"Native, Born In US",93,Advertising and related services (5418),1020,"Private, For Profit",No,No,Employed-At Work
1216,764096607309,January,CA,3359.3747,520.0,40,39,1,6.0,39,1,6,0,0,"Foreign Born, US Cit By Naturalization",93,Automotive repair and maintenance (8111 exc. 811192),8810,"Private, For Profit",No,No,Employed-At Work
1217,764096607309,January,CA,3422.2941,850.0,40,39,1,1.0,31,1,7,0,0,"Native, Born In US",93,Automotive repair and maintenance (8111 exc. 811192),5860,"Private, For Profit",No,No,Employed-At Work
1218,764096607309,January,CA,3422.2941,850.0,40,40,1,1.0,31,1,7,0,0,"Native, Born In US",93,Real estate (531),5260,"Private, For Profit",No,No,Employed-At Work
1219,1047206064693,January,CA,2991.2863,720.0,40,40,1,5.0,30,2,7,0,0,"Native, Born In US",93,Motion pictures and video industries (5121),5400,"Private, For Profit",No,No,Employed-At Work
1220,1047206064693,January,CA,3276.2601,640.0,40,40,1,1.0,30,1,7,0,0,"Native, Born In US",93,"Clothing and accessories, except shoe, stores (448 exc. 44821, 4483)",5620,"Private, For Profit",No,No,Employed-At Work
1221,1083600022641,January,CA,3508.8087,1057.69,40,39,1,1.0,57,1,1,0,0,"Native, Born In US",93,Aircraft and parts manufacturing (336411 to 336413),8030,"Private, For Profit",No,No,Employed-At Work
1222,1083600022641,January,CA,3050.1513,1600.0,40,43,1,,57,2,1,0,0,"Native, Born In US",93,Hospitals (622),3220,"Private, Nonprofit",No,No,Employed-At Work
1224,1083600022641,January,CA,3194.1088,790.0,40,39,1,,30,1,1,2,1,"Native, Born In US",93,Business support services (5614),5400,"Private, For Profit",No,No,Employed-At Work
1228,3905360695986,January,CA,3296.9904,1596.15,40,43,2,,56,1,7,0,0,"Native, Born In US",93,Computer systems design and related services (5415),1010,"Private, For Profit",No,No,Employed-At Work
1230,4003608069611,January,CA,2996.9309,2750.0,40,43,1,,60,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,Scientific research and development services (5417),10,"Private, For Profit",No,No,Employed-At Work
1231,4660760973490,January,CA,3174.2668,1536.58,45,43,1,,31,2,1,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work
1232,4660760973490,January,CA,3135.6129,2019.23,55,44,1,,29,1,1,0,0,"Native, Born In US",93,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",430,"Private, For Profit",No,No,Employed-At Work
1234,4660760973490,January,CA,3135.6129,1153.0,40,43,1,,25,1,1,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work
1235,5017808077661,January,CA,3598.2778,1307.69,40,39,1,,55,1,1,1,3,"Native, Born In US",93,Other general government and support (92119),7315,Government - State,No,No,Employed-At Work
1236,5017808077661,January,CA,3452.5706,1615.38,40,39,1,,51,2,1,1,3,"Native, Born In US",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",630,Government - Federal,No,No,Employed-At Work
1238,5073107048641,January,CA,3174.8078,557.69,36,40,5,,42,2,1,1,4,"Native, Born in PR or US Outlying Area",93,"Banking and related activities (521, 52211,52219)",910,"Private, For Profit",No,No,Employed-At Work
1239,5073107048641,January,CA,3396.9355,615.38,40,42,5,,42,1,1,1,4,"Native, Born In US",93,Automotive repair and maintenance (8111 exc. 811192),8740,"Private, For Profit",No,No,Employed-At Work
1242,5760360973598,January,CA,3307.3193,480.0,40,33,1,1.0,63,1,1,0,0,"Foreign Born, US Cit By Naturalization",93,"** Farm supplies, merchant wholesalers (*42491)",9600,"Private, For Profit",No,No,Employed-At Work
1243,5760360973598,January,CA,2519.8096,400.0,40,33,1,1.0,60,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,"Bakeries, except retail (3118 exc. 311811)",7830,"Private, For Profit",No,No,Employed-At Work
1254,7905740899826,January,CA,3025.9292,128.0,16,33,1,5.0,36,2,1,2,3,"Foreign Born, Not a US Citizen",93,Private households (814),4230,"Private, For Profit",No,No,Employed-At Work
1256,8077500096671,January,CA,2946.1027,418.4,40,43,4,,42,2,1,1,3,"Foreign Born, US Cit By Naturalization",93,Restaurants and other food services (722 exc. 7224),4020,"Private, For Profit",No,No,Employed-At Work
1257,8520760942294,January,CA,3679.1742,500.0,40,39,1,,22,1,7,0,0,"Native, Born In US",93,Automotive repair and maintenance (8111 exc. 811192),9360,"Private, For Profit",No,No,Employed-At Work
1258,8520760942294,January,CA,3375.5418,100.0,25,40,1,,21,2,7,0,0,"Native, Born In US",93,Restaurants and other food services (722 exc. 7224),4020,"Private, For Profit",No,No,Employed-At Work
1259,8720760973697,January,CA,3523.3355,115.0,40,39,1,1.0,28,1,1,2,6,"Foreign Born, Not a US Citizen",93,Landscaping services (56173),4250,"Private, For Profit",No,No,Employed-At Work
1261,9006201070190,January,CA,3090.4315,220.0,20,40,1,,30,1,7,0,0,"Native, Born In US",93,Child day care services (6244),4600,"Private, Nonprofit",No,No,Employed-At Work
1262,9033705075691,January,CA,3980.697,400.0,40,40,4,,53,2,5,0,0,"Foreign Born, US Cit By Naturalization",93,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",5240,Government - Local,No,No,Employed-At Work
1263,9033705075691,January,CA,5494.3112,973.0,40,43,4,,25,2,7,0,0,"Native, Born In US",93,Advertising and related services (5418),50,"Private, For Profit",No,No,Employed-At Work
1264,11340760971297,January,CA,3509.0985,1315.38,40,43,1,,60,2,1,0,0,"Native, Born In US",93,Administration of human resource programs (923),430,Government - State,Yes,,Employed-At Work
1265,11340760971297,January,CA,3097.4714,2500.0,40,40,1,,61,1,1,0,0,"Native, Born In US",93,"Architectural, engineering, and related services (5413)",1020,"Private, For Profit",No,No,Employed-At Work
1266,11340760971297,January,CA,3179.6891,75.0,3,39,1,,27,2,7,0,0,"Native, Born In US",93,"Business, technical, and trade schools and training (6114, 6115)",2200,"Private, Nonprofit",No,No,Employed-At Work
